Date,Post ID,Network,Content Type,Sent by,Link,Post,Impressions,Organic Impressions,Viral Impressions,Non-viral Impressions,Fan Impressions,Fan Organic Impressions,Non-fan Impressions,Non-fan Organic Impressions,Reach,Organic Reach,Viral Reach,Non-viral Reach,Fan Reach,Engagement Rate (per Impression),Engagement Rate (per Reach),Engagements,Reactions,Likes,Comments,Shares,Click-Through Rate,Other Post Clicks,Post Clicks (All),Post Photo View Clicks,Answers,Negative Feedback,Engaged Users,Engaged Fans,Users Talking About This,Unique Reactions,Unique Comments,Unique Shares,Unique Answers,Unique Post Clicks,Unique Post Photo View Clicks,Unique Other Post Clicks,Unique Negative Feedback,Year,Positive reaction,Negative reaction,day_of_week,is_weekend,post_length,contains_question,num_hashtags,part_of_day_posted,Month,no of tags,Linked Content(?)
2017-07-21 18:30:00,253788558082460_1230614370399869,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/photos/a.274142602713722/1230614370399869/?type=3,"You do not have to be a tech genius.. The Stanbic IBTC Bank eCommerce solutions are easy to use by both seller and buyer. For more information on this product, email enterprisedirect@stanbicibtc.com or call 0700 333 3333",8866,6984,1882,6984,6951,6951,1915,33,5751,4588,1108,4588,4607,2.89,4.45,256,79,78,26,5,0.05,142,146,73,0,0,167,134,85,76,9,5,0,98,63,57,0.0,2017,1.0,0.0,Friday,0,37,0,0,evening,Jul,0,Content has link(s)
2017-07-21 20:00:00,253788558082460_1230666890394617,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1230666890394617:0,"Do you know that you can visit any Stanbic IBTC branch across Nigeria and make convenient and secure payments for your South African Airline tickets? For more information, call 0700 2255 782 6262.",7745,6892,853,6892,6864,6864,881,28,4913,4514,486,4514,4460,2.27,3.58,176,58,57,17,5,0.01,95,96,46,0,1,110,96,67,58,6,5,0,51,33,25,1.0,2017,1.0,0.0,Friday,0,33,1,0,evening,Jul,0,Content has link(s)
2017-07-26 16:12:00,253788558082460_1235955036532469,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1235955036532469:0,"Retirement ke? Is it not too early? It’s okay if you answered No in the polls… read on 
#WealthWednesday",3990,3446,544,3446,3440,3440,550,6,2477,2219,309,2219,2196,1.4,2.26,56,11,11,6,3,0.0,36,36,24,0,0,43,34,15,11,2,3,0,30,19,12,0.0,2017,0.0,0.0,Wednesday,0,19,1,1,afternoon,Jul,0,Content has link(s)
2017-07-26 16:13:00,253788558082460_1235955786532394,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1235955786532394:0,"A ‘’No’’ will not be acceptable after you read this important thread though 😉 
#WealthWednesday",3671,3256,415,3256,3211,3211,460,45,2249,2066,216,2066,2033,1.28,2.09,47,9,9,0,3,0.0,35,35,29,0,0,36,27,9,8,0,2,0,28,23,6,0.0,2017,0.0,0.0,Wednesday,0,15,0,1,afternoon,Jul,0,Content has link(s)
2017-07-26 16:16:00,253788558082460_1235959143198725,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1235959143198725:0,"Here are a few tips to aid you in planning your retirement based on your age bracket & irrespective of your gender.
#WealthWednesday",3123,3080,43,3080,3004,3004,119,76,2017,1990,27,1990,1953,2.24,3.47,70,5,5,7,0,0.0,58,58,51,0,0,49,37,7,5,2,0,0,41,36,7,0.0,2017,0.0,0.0,Wednesday,0,23,0,1,afternoon,Jul,0,Content has link(s)
2017-07-26 16:20:00,253788558082460_1235961706531802,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1235961706531802:0,"Let’s discuss how you can retire well. 
Do get in touch. 
#WealthWednesday",4230,3309,921,3309,3299,3299,931,10,2711,2196,573,2196,2181,2.34,3.65,99,47,46,0,11,0.0,41,41,34,0,0,76,65,53,47,0,9,0,31,25,7,0.0,2017,1.0,0.0,Wednesday,0,12,0,1,afternoon,Jul,0,Content has link(s)
2017-08-02 17:53:00,253788558082460_1243237779137528,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1243237779137528:0,Why not contact us and let’s help you build your wealth.,7142,6241,901,6241,6181,6181,961,60,4340,3783,572,3783,3726,3.5,5.76,250,109,109,21,8,0.0,112,112,60,0,0,171,162,118,108,8,8,0,73,47,41,0.0,2017,0.0,0.0,Wednesday,0,11,0,0,evening,Aug,0,Content has link(s)
2017-08-04 10:00:00,253788558082460_1244636168997689,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1244636168997689:0,The weekend is finally here!,4410,3588,822,3588,3565,3565,845,23,2815,2332,486,2332,2338,2.27,3.55,100,66,65,0,11,0.0,23,23,14,0,0,87,78,71,65,0,11,0,17,10,8,0.0,2017,1.0,0.0,Friday,0,5,0,0,morning,Aug,0,Content has link(s)
2017-08-05 09:00:00,253788558082460_1245569225571050,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1245569225571050:0,"Seeing the dreaded E16 notification? Be not scared, our payment platforms have you covered. Call 01 270 9676 for more details.",4305,3838,467,3838,3751,3751,554,87,2719,2504,236,2504,2437,1.7,2.68,73,41,40,0,6,0.0,26,26,22,0,0,61,54,46,41,0,6,0,18,15,4,0.0,2017,1.0,0.0,Saturday,1,21,1,0,morning,Aug,0,Content has link(s)
2017-08-08 10:00:00,253788558082460_1248707285257244,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1248707285257244:0,"Productivity Tip:
Plan out your goals.  It helps to plan out your goals so that you can be more focused in achieving them.",5942,4737,1205,4737,4627,4627,1315,110,3560,2788,764,2788,2772,1.77,2.95,105,40,39,17,8,0.0,40,40,23,0,0,78,61,49,39,4,8,0,36,21,16,0.0,2017,1.0,0.0,Tuesday,0,23,0,0,morning,Aug,0,Content has link(s)
2017-08-09 13:44:00,253788558082460_1249830551811584,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1249830551811584,Today's #wealthwedneday is about Diabetes.,3934,3905,29,3905,3798,3798,136,107,2645,2609,25,2609,2545,3.28,4.88,129,12,12,0,0,0.0,117,117,102,0,2,51,47,7,7,0,0,0,46,36,13,2.0,2017,0.0,0.0,Wednesday,0,5,0,1,afternoon,Aug,0,Content has link(s)
2017-08-10 10:04:00,253788558082460_1250575375070435,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1250575375070435:0,What was your favourite sweet/candy as a child?,13545,11344,2201,11344,11200,11200,2345,144,8304,6885,1360,6885,6837,3.47,5.66,470,140,139,45,16,0.01,268,269,121,0,1,298,263,173,139,32,15,0,161,93,105,1.0,2017,1.0,0.0,Thursday,0,8,1,0,morning,Aug,0,Content has link(s)
2017-08-11 18:02:00,253788558082460_1251796951614944,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1251796951614944:0,"What are you doing this Sunday? 📅 If you’re free, we’d love for you to join us at the movies for the premier of #MyWifeAndI📽.
You can get in by answering this riddle, What is the title of the highest grossing movie from #Nollywood?
First correct answer gets a VIP ticket to the premier of #MyWifeAndI this Sunday @filmhouse cinema in Lekki. 😎📽🍿",14228,12386,1842,12386,12343,12343,1885,43,8860,7784,1136,7784,7776,3.25,5.23,463,111,111,43,10,0.01,298,299,120,0,1,299,267,148,111,35,10,0,193,92,148,1.0,2017,0.0,0.0,Friday,0,63,1,3,evening,Aug,0,Content has link(s)
2017-08-12 08:00:00,253788558082460_1252344954893477,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1252344954893477:0,"Get your excitement back, renew your DSTV subscription via any of our payment platforms. Call 01 270 9676 for more details.",4007,3649,358,3649,3555,3555,452,94,2619,2376,233,2376,2338,2.67,4.09,107,49,49,7,6,0.0,45,45,27,0,0,86,76,58,49,5,6,0,33,21,14,0.0,2017,0.0,0.0,Saturday,1,21,0,0,morning,Aug,0,Content has link(s)
2017-08-14 17:00:00,253788558082460_1254535914674381,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1254535914674381:0,"Remember, it’s not over until you give up.",13462,10096,3366,10096,10084,10084,3378,12,8312,6254,2038,6254,6208,3.97,6.44,535,197,195,40,25,0.0,273,273,132,0,3,338,298,217,194,16,25,0,167,110,84,3.0,2017,2.0,0.0,Monday,0,8,0,0,evening,Aug,0,Content has link(s)
2017-08-16 13:26:00,253788558082460_1256224507838855,Facebook,Photo,Anonymous,https://www.facebook.com/album.php?fbid=1256224507838855&id=253788558082460&aid=1073741856,RSA - Retirement Savings Account,4626,4391,235,4391,4266,4266,360,125,2976,2823,148,2823,2738,4.93,7.66,228,74,72,9,21,0.0,124,124,90,0,0,129,118,80,68,3,19,0,65,48,24,0.0,2017,2.0,0.0,Wednesday,0,5,0,0,afternoon,Aug,0,Content has link(s)
2017-08-16 14:17:00,253788558082460_1256260364501936,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/photos/a.1256224507838855.1073741856.253788558082460/1256260364501936/?type=3,"FYI, we can help with both of them. Yes, we are cool like that and we’ve got you covered. #WealthWednesday",4809,4768,41,4768,4634,4634,175,134,3126,3099,31,3099,3010,2.87,4.41,138,9,9,2,0,0.0,127,127,90,0,0,71,66,10,9,1,0,0,66,48,26,0.0,2017,0.0,0.0,Wednesday,0,20,0,1,afternoon,Aug,0,Content has link(s)
2017-08-16 14:55:00,253788558082460_1256225774505395,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1256225774505395,RSA - Retirement Savings Account,4809,4768,41,4768,4634,4634,175,134,3126,3099,31,3099,3010,2.87,4.41,138,9,9,2,0,0.0,127,127,90,0,0,71,66,10,9,1,0,0,66,48,26,0.0,2017,0.0,0.0,Wednesday,0,5,0,0,afternoon,Aug,0,Content has link(s)
2017-08-18 11:00:00,253788558082460_1257959774331995,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1257959774331995:0,"Get your excitement back, renew your DSTV subscription via any of our payment platforms. Call 01 270 9676 for more details.",5910,5291,619,5291,5201,5201,709,90,3439,3050,333,3050,3032,2.88,4.94,170,51,51,18,4,0.0,97,97,39,0,2,93,71,57,50,6,4,0,46,32,27,2.0,2017,0.0,0.0,Friday,0,21,0,0,morning,Aug,0,Content has link(s)
2017-08-22 17:00:00,253788558082460_1261862380608401,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1261862380608401:0,Experience the beauty of nature with a visit to Ikogosi warm springs and a view of Idanre’s beautiful landscape as you round off summer. Pay less with your Stanbic IBTC card. 😉 Visit www.irinajo.ng/stanbicibtc for details,5512,5135,377,5135,5040,5040,472,95,3488,3259,235,3259,3240,2.61,4.13,144,56,56,8,5,0.05,72,75,36,0,0,105,93,60,56,4,5,0,55,32,30,0.0,2017,0.0,0.0,Tuesday,0,36,0,0,evening,Aug,0,Content has link(s)
2017-08-23 13:48:00,253788558082460_1262541463873826,Facebook,Photo,Anonymous,https://www.facebook.com/media/set/?set=a.1262541463873826.1073741858.253788558082460&type=3,Today we will be talking about Stanbic IBTC Educational Trust (SET),6214,5961,253,5961,5844,5844,370,117,3934,3783,190,3783,3732,5.6,8.85,348,92,92,20,37,0.0,199,199,138,0,1,188,145,104,78,8,31,0,100,65,46,1.0,2017,0.0,0.0,Wednesday,0,11,0,0,afternoon,Aug,0,Content has link(s)
2017-08-23 14:30:00,253788558082460_1262541997207106,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1262541997207106,Today we will be talking about Stanbic IBTC Educational Trust (SET),7081,6269,812,6269,6238,6238,843,31,4299,3907,461,3907,3873,3.66,6.02,259,27,26,1,15,0.0,216,216,149,0,1,130,103,19,15,1,4,0,114,76,51,1.0,2017,1.0,0.0,Wednesday,0,11,0,0,afternoon,Aug,0,Content has link(s)
2017-08-24 10:53:00,253788558082460_1263271027134203,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1263271027134203:0,Would you rent or buy a wedding dress for your big day?,19207,17060,2147,17060,16965,16965,2242,95,11268,9943,1398,9943,9724,4.23,7.22,813,144,139,76,14,0.02,576,579,158,0,4,476,438,174,141,36,11,0,353,131,301,4.0,2017,5.0,0.0,Thursday,0,12,1,0,morning,Aug,0,Content has link(s)
2017-08-28 10:00:00,253788558082460_1266640263463946,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1266640263463946:0,"#MotivationMonday
Don’t let the mistakes of the past hold you down. Learn from them, try again and grow.",5603,4036,1567,4036,4027,4027,1576,9,3583,2652,920,2652,2634,2.77,4.33,155,86,84,2,16,0.02,50,51,31,0,0,118,93,98,86,2,16,0,37,28,13,0.0,2017,2.0,0.0,Monday,0,18,0,1,morning,Aug,0,Content has link(s)
2017-08-30 14:57:00,253788558082460_1268592066602099,Facebook,Photo,Anonymous,https://www.facebook.com/media/set/?set=a.1268592066602099.1073741859.253788558082460&type=3,Today's #WealthWednesday is about Group Life Insurance.,3203,3144,59,3144,3024,3024,179,120,2085,2036,43,2036,1972,4.28,6.57,137,53,52,7,15,0.0,62,62,42,0,0,82,69,57,46,4,12,0,32,20,16,0.0,2017,1.0,0.0,Wednesday,0,7,0,1,afternoon,Aug,0,Content has link(s)
2017-08-30 18:37:00,253788558082460_1268756246585681,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1268756246585681:0,"A little something to think about on your life’s journey as you make career choices.
When you get the chance, have a chat with your employer about the details of your group life insurance policy. 
Let us know if you have any questions. We are more than happy to answer them. Have a great day. #WealthWednesday",3197,2611,586,2611,2575,2575,622,36,2060,1714,333,1714,1707,1.63,2.52,52,28,27,0,9,0.0,15,15,9,0,0,44,36,34,28,0,9,0,12,8,6,0.0,2017,1.0,0.0,Wednesday,0,56,0,1,evening,Aug,0,Content has link(s)
2017-09-04 10:00:00,253788558082460_1272816439512995,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1272816439512995:0,Stay persistent. Be consistent. You will get there.,11788,8461,3327,8461,8449,8449,3339,12,7647,5762,2155,5762,5744,3.23,4.98,381,152,149,13,31,0.0,185,185,110,0,0,276,222,170,149,10,31,0,146,103,61,0.0,2017,3.0,0.0,Monday,0,8,0,0,morning,Sep,0,Content has link(s)
2017-09-08 15:00:00,253788558082460_1276199782507994,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1276199782507994:0,Answer – A Piano,5978,5777,201,5777,5733,5733,245,44,4039,3961,110,3961,3927,3.65,5.4,218,70,68,15,2,0.0,131,131,51,0,0,153,147,78,69,11,2,0,86,44,64,0.0,2017,2.0,0.0,Friday,0,4,0,0,afternoon,Sep,0,Content has link(s)
2017-09-13 13:55:00,253788558082460_1280284172099555,Facebook,Photo,Anonymous,https://www.facebook.com/media/set/?set=a.1280284172099555.1073741862.253788558082460&type=3,Today we will be talking about Food and Nutrition.,3977,3919,58,3919,3887,3887,90,32,2819,2768,42,2768,2749,4.6,6.49,183,51,51,6,16,0.0,110,110,55,0,1,128,101,66,51,4,14,0,70,46,33,1.0,2017,0.0,0.0,Wednesday,0,9,0,0,afternoon,Sep,0,Content has link(s)
2017-09-13 14:40:00,253788558082460_1280286392099333,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1280286392099333:0,"Whole-grain foods are lower in caloric density than their processed grain counterparts and higher in fibre, certain vitamins and minerals. #WealthWednesday",198,198,0,198,173,173,25,25,131,131,0,131,113,6.57,9.92,13,7,7,0,0,0.0,6,6,4,0,0,11,9,7,7,0,0,0,4,3,2,0.0,2017,0.0,0.0,Wednesday,0,21,0,1,afternoon,Sep,0,Content has link(s)
2017-09-15 15:00:00,253788558082460_1282051398589499,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1282051398589499,Answer - Stairs,4462,3952,510,3952,3939,3939,523,13,3045,2765,309,2765,2765,3.03,4.43,135,53,53,10,5,0.0,67,67,11,0,0,104,93,56,51,4,4,0,54,11,47,0.0,2017,0.0,0.0,Friday,0,3,0,0,afternoon,Sep,0,Content has link(s)
2017-09-17 11:37:00,253788558082460_1284615251666447,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1284615251666447:0,"This EPL #Supersunday, it's the Blues against the Gunners. Predict and win 5k shopping voucher.",95300,59484,35816,59484,57181,57181,38119,2303,56094,38717,18384,38717,35590,5.49,9.32,5230,641,631,1050,96,0.0,3443,3443,1305,0,7,2431,1974,1398,620,955,95,0,1948,717,1628,6.0,2017,10.0,0.0,Sunday,1,15,0,1,morning,Sep,0,Content has link(s)
2017-09-20 14:45:00,253788558082460_1287384754722830,Facebook,Photo,Anonymous,https://www.facebook.com/media/set/?set=a.1287384754722830.1073741863.253788558082460&type=3,"We may not be able to replace your popcorn, but we will replace your phone’s broken screen or lost property. Just ask us how !",3688,3550,138,3550,3546,3546,142,4,2366,2255,109,2255,2258,7.94,12.38,293,50,50,15,16,0.0,212,212,185,0,1,198,173,60,47,7,16,0,150,132,23,1.0,2017,0.0,0.0,Wednesday,0,25,0,0,afternoon,Sep,0,Content has link(s)
2017-09-20 19:25:00,253788558082460_1287587664702539,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1287587664702539,Investors from across the globe in rapt attention as Amine delivers insights on the Nigerian economic climate. #SBWAIC2017,2569,2399,170,2399,2392,2392,177,7,1615,1505,112,1505,1497,2.18,3.47,56,41,40,0,3,0.0,12,12,8,0,0,51,48,42,41,0,3,0,10,8,4,0.0,2017,1.0,0.0,Wednesday,0,18,0,1,evening,Sep,0,Content has link(s)
2017-09-21 11:30:00,253788558082460_1288125677982071,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1288125677982071:0,"Join us on CNBC Africa at 11:30AM as our Group CE, Yinka Sanni, discusses Day 1 of #SBWAIC2017.",3384,2992,392,2992,2964,2964,420,28,2181,1961,223,1961,1951,2.13,3.3,72,42,42,6,2,0.0,22,22,10,0,0,58,52,44,41,3,2,0,16,10,8,0.0,2017,0.0,0.0,Thursday,0,18,0,1,morning,Sep,0,Content has link(s)
2017-09-27 15:43:00,253788558082460_1293133947481244,Facebook,Photo,Anonymous,https://www.facebook.com/media/set/?set=a.1293133947481244.1073741864.253788558082460&type=3,Today's Wealth Wednesday is about having a Legacee.,2624,2565,59,2565,2558,2558,66,7,1828,1784,41,1784,1789,3.47,4.98,91,31,30,4,17,0.0,39,39,25,0,0,57,46,34,26,2,14,0,29,18,12,0.0,2017,1.0,0.0,Wednesday,0,8,0,0,afternoon,Sep,0,Content has link(s)
2017-10-11 14:48:00,253788558082460_1304573816337257,Facebook,Photo,Anonymous,https://www.facebook.com/media/set/?set=a.1304573816337257.1073741866.253788558082460&type=3,Today's Wealth Wednesday is about Asset Management.,4506,4322,184,4322,4299,4299,207,23,3058,2925,115,2925,2917,4.73,6.97,213,62,61,3,39,0.0,109,109,72,0,0,149,128,77,56,3,28,0,86,62,32,0.0,2017,1.0,0.0,Wednesday,0,7,0,0,afternoon,Oct,0,Content has link(s)
2017-10-13 10:00:00,253788558082460_1306081666186472,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1306081666186472:0,Brainteaser – What has six faces but does not wear makeup and it also has twenty-one eyes but cannot see?,37730,37730,5921,31809,32362,32362,5368,5368,24019,24019,2904,20561,20667,6.87,10.79,2592,203,199,189,18,0.0,2182,2182,534,0,2,1742,1599,312,199,151,18,0,1593,460,1458,2.0,2017,4.0,0.0,Friday,0,20,1,0,morning,Oct,0,Content has link(s)
2017-10-13 14:00:00,253788558082460_1306263682834937,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1306263682834937:0,Answer – Dice,9275,9275,1012,8263,8219,8219,1056,1056,5936,5936,518,5353,5322,3.76,5.88,349,104,104,25,8,0.0,212,212,69,0,1,244,232,124,103,24,8,0,158,63,125,1.0,2017,0.0,0.0,Friday,0,3,0,0,afternoon,Oct,0,Content has link(s)
2017-10-13 14:00:00,253788558082460_1306263816168257,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1306263816168257:0,Walking #Together4ALimb has helped change Fatima's story for the better.,4736,4736,1152,3584,3557,3557,1179,1179,2827,2827,607,2231,2231,2.26,3.78,107,66,66,0,13,0.0,28,28,15,0,0,96,92,77,66,0,13,0,23,15,12,0.0,2017,0.0,0.0,Friday,0,10,0,1,afternoon,Oct,0,Content has link(s)
2017-10-13 17:00:00,253788558082460_1306439026150736,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1306439026150736:0,"Don’t let the negative feedback from the week weight you down, instead learn from it and become a better person.",11327,11327,4921,6406,6642,6642,4685,4685,6418,6418,2501,3834,3913,2.78,4.91,315,154,153,14,46,0.0,101,101,57,0,0,225,171,163,141,11,40,0,86,53,44,0.0,2017,1.0,0.0,Friday,0,20,0,0,evening,Oct,0,Content has link(s)
2017-10-14 10:00:00,253788558082460_1307026269425345,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1307026269425345:0,The first 3 correct predictions of the final score win free airtime.,74965,74965,25998,48967,48989,48989,25976,25976,44872,44872,12016,33402,32444,4.48,7.48,3356,572,564,667,66,0.0,2051,2051,775,0,3,1718,1378,1016,561,579,59,0,1260,526,969,3.0,2017,8.0,0.0,Saturday,1,12,0,0,morning,Oct,0,Content has link(s)
2017-10-16 10:23:00,253788558082460_1308835742577731,Facebook,Photo,Anonymous,https://www.facebook.com/StanbicIBTC/posts/1308835742577731:0,"#MotivationMonday
Don’t give up. Believe you can accomplish your goals even as we enter the last quarter of the year.",7378,7378,2129,5249,5395,5395,1983,1983,4523,4523,1141,3461,3515,2.91,4.75,215,116,114,8,24,0.0,67,67,27,0,0,166,144,133,116,6,24,0,54,23,37,0.0,2017,2.0,0.0,Monday,0,20,0,1,morning,Oct,0,Content has link(s)
