Date,Post ID,Network,Content Type,Profile,Sent by,Link,Post,Impressions,Organic Impressions,Engagement Rate (per Impression),Engagements,Reactions,Likes,Comments,Shares,Click-Through Rate,Post Link Clicks,Post Clicks (All),Year,part_of_day_posted,Month,day_of_week,is_weekend,post_length,contains_question,num_hashtags,no of tags,Linked Content(?)
2018-02-06 14:00:00,6366626348215128065,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6366626348122861569,#JAMBTip Breaking your study time into smaller chunks helps you assimilate better.,3,3,533.33,16,15,15,0,1,0.0,0,0,2018,afternoon,Feb,Tuesday,0,12,0,1,0,No linked content
2018-02-06 18:29:00,6366694204554436608,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6366694204441182208,The internet is huge and has many wonderful uses. Make sure you’re making the most of them by  staying safe online. #SaferInternetDay,3,3,733.33,22,16,16,5,1,0.0,0,0,2018,evening,Feb,Tuesday,0,22,0,1,0,No linked content
2018-02-07 11:10:00,6366946005748895744,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6366946005669212161,What gift would make this year’s Valentine’s Day special for you?,3,3,466.67,14,9,9,4,1,0.0,0,0,2018,morning,Feb,Wednesday,0,11,1,0,0,No linked content
2018-02-07 11:40:00,6366953478182494208,LinkedIn,Photo,Stanbic IBTC,Aramide Salami,https://linkedin.com/feed/update/urn:li:activity:6366953477960196096,Looking to grow your agric business in the modern age? The #AgricSocialMediaWeek2018 is happening from February 7 to 8. #TheAgricTakeOver,3,3,333.33,10,9,9,0,1,0.0,0,0,2018,morning,Feb,Wednesday,0,20,1,2,0,No linked content
2018-02-07 14:36:00,6366997831160516608,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6366997831064055808,What is the most expensive gift you’ve given or received from your valentine? #WealthWednesday,6,6,200.0,12,11,11,0,1,0.0,0,0,2018,afternoon,Feb,Wednesday,0,14,1,1,0,No linked content
2018-02-07 14:50:00,6367001301401817088,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6367001301317926912,"Valentine’s Day 💕  is in a week everyone. So this #WealthWednesday, we’ll be talking about the second best part – giving and receiving gifts 🎁. Don’t get us wrong, the gifts are great. But the best part of it all is the thought that comes with the gift – the intent to make someone feel special.",4,4,450.0,18,17,17,0,1,0.0,0,0,2018,afternoon,Feb,Wednesday,0,56,0,1,0,No linked content
2018-02-07 15:00:00,6367003908346298368,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6367003908249829376,"While all gifts are valuable, it’s always a good idea to take the most care of those really obviously expensive gifts 💎 🚗 📱. One way is by being very careful with them. Another is keeping them safe. Allow us to recommend a third option – insuring them. #WealthWednesday",4,4,225.0,9,8,8,0,1,0.0,0,0,2018,afternoon,Feb,Wednesday,0,49,0,1,0,No linked content
2018-02-07 15:10:00,6367006336504381440,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6367006336407920641,"Did you know that jewellery and other expensive items aren’t automatically covered under a homeowner’s policy? So, in the off-chance that you experience a loss of said items from your home, and the cause of the loss is not specifically mentioned in your policy, you may not be covered and compensated 😲. That’s why we are here: to help protect your most valued possessions – especially those received from the one who loves you. So, if you receive really expensive gifts this Valentine’s Day, let’s make them priceless by protecting not just the gift, but the memories with an insurance policy. Call 01-2770394 or email us via insurancesolution@stanbicibtc.com today. #WealthWednesday",4,4,675.0,27,25,25,1,1,0.0,0,0,2018,afternoon,Feb,Wednesday,0,110,1,1,0,No linked content
2018-02-08 09:00:00,6367275626302361600,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6367275626168143872,#MoneySafe Cheque and signature forging still happen. Keep your cheques safe and secure to prevent them from getting into the wrong hands.,3,3,266.67,8,7,7,0,1,0.0,0,0,2018,morning,Feb,Thursday,0,22,0,1,0,No linked content
2018-02-08 10:21:00,6367296140060217344,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6367296139963748352,People registering at the Agric social media week event happening now. #TheAgricTakeOver,3,3,433.33,13,12,12,0,1,0.0,0,0,2018,morning,Feb,Thursday,0,12,0,1,0,No linked content
2018-02-08 10:30:00,6367298421916778496,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6367298421820317696,Participants at the Agric Social Media week event. #TheAgricTakeOver #StanbicIBTC,5,5,260.0,13,12,12,0,1,0.0,0,0,2018,morning,Feb,Thursday,0,10,0,2,0,No linked content
2018-02-08 10:38:00,6367300453276934144,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6367300453159497729,Prince Ade Ajayi (National Coordinator - CFIL) giving the opening speech at the Agric Social Media week. #TheAgricTakeOver #StanbicIBTC,6,6,300.0,18,17,17,0,1,0.0,0,0,2018,morning,Feb,Thursday,0,19,0,2,0,No linked content
2018-02-08 10:54:00,6367304373642547202,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6367304373558661120,The 1st panel session of the event talking about Climate Change as its affects agriculture. #TheAgricTakeOver #StanbicIBTC,8,8,187.5,15,14,14,0,1,0.0,0,0,2018,morning,Feb,Thursday,0,17,0,2,0,No linked content
2018-02-08 14:00:00,6367351184616931328,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6367351184478523393,#ThrowbackThursday #JAMBTipsWhat emoji best describes your reaction?,5,5,360.0,18,17,17,0,1,0.0,0,0,2018,afternoon,Feb,Thursday,0,8,1,2,0,No linked content
2018-02-09 09:00:00,6367638007058616321,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6367638006974730240,"#Insurance We don’t tell you stories when you need us the most, rather we’ll walk you through with our quick and easy Insurance services. 
Call us on 01 2702852 or send a mail to insurancesolution@stanbicibtc.com to get started.",4,4,550.0,22,21,21,0,1,0.0,0,0,2018,morning,Feb,Friday,0,38,0,1,0,No linked content
2018-02-12 10:44:00,6368751420203683840,LinkedIn,Link,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6368751420186910720,"#MotivationMonday Watch Kechi Okwuchi share why you shouldn't let your circumstances break you, rather let them strengthen you. Link here: http://bit.ly/2sou5AL",4,4,575.0,23,22,22,0,1,0.0,0,0,2018,morning,Feb,Monday,0,21,0,1,0,Content has link(s)
2018-02-12 11:16:00,6368759394812907520,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6368759394703859712,"Announcement: We listed 3 of our funds on the FMDQ OTC Exchange today – the Money Market Fund, the Bond Fund and the Dollar Fund. 
· Stanbic IBTC Money Market Fund – with a net asset value of approximately N 190B, is currently Nigeria’s largest open-ended mutual fund invested in fixed deposits, treasury bills and guaranteed commercial papers.
 
· Stanbic IBTC Bond Fund invests in a mix of government bonds and money market instruments to ensure liquidity and is suitable for investors with a low risk appetite.
 
· Stanbic IBTC Dollar Fund offers savvy investors an opportunity to invest in foreign currency denominated securities to optimize investors’ returns.
 
For more on our products, please email assetmanagement@stanbicibtc.com, call 0700-MUTUALFUNDS (0700 688825 38637). You can also get started by visiting http://bit.ly/2ExR7tQ #MovingForward #NeverStopInvesting",33,33,224.24,74,69,69,2,1,6.06,2,2,2018,morning,Feb,Monday,0,131,0,2,0,No linked content
2018-02-13 09:00:00,6369087567261954048,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6369087567152898048,"#TermOfTheDay Procurement is the process of preparing, processing and delivering on demands through buying of goods and services as well as approval of payments.",7,7,228.57,16,14,14,1,1,0.0,0,0,2018,morning,Feb,Tuesday,0,24,0,1,0,No linked content
2018-02-13 14:00:00,6369163151572815874,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6369163151400849408,#JAMBTip Seize the opportunity to participate in the optional Mock exam organized by JAMB. This will help prepare your mind for the day.,6,6,266.67,16,15,15,0,1,0.0,0,0,2018,afternoon,Feb,Tuesday,0,23,0,1,0,No linked content
2018-02-13 14:26:00,6369169595131056128,LinkedIn,Photo,Stanbic IBTC,Aramide Salami,https://linkedin.com/feed/update/urn:li:activity:6369169594900377600,"#ICYMI: Head, Stanbic IBTC Global Markets (middle) discussing opportunities for regional and global trade financing with fellow professionals at the recently held 2018 West Africa Trade & Export Finance Conference.",10,10,300.0,30,27,27,0,1,20.0,2,2,2018,afternoon,Feb,Tuesday,0,30,0,1,0,No linked content
2018-02-13 17:37:00,6369217659023826944,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6369217660227584000,"This Valentine's Day, show true love and let your loved one(s) pick their gift with the Stanbic IBTC Gift card. For more information, call 01 270 9676 or email customercarenigeria@stanbicibtc.com today.",8,8,337.5,27,25,25,0,2,0.0,0,0,2018,evening,Feb,Tuesday,0,31,0,0,0,No linked content
2018-02-14 12:11:00,6369498057901428736,LinkedIn,Photo,Stanbic IBTC,Aramide Salami,https://linkedin.com/feed/update/urn:li:activity:6369498057775599616,"Everyday is love's day, but today, go a step further to express love and appreciation to that special someone in your life. Happy Valentine's Day from all of us at Stanbic IBTC.",8,8,150.0,12,11,11,0,1,0.0,0,0,2018,afternoon,Feb,Wednesday,0,32,0,0,0,No linked content
2018-02-14 14:45:00,6369536766285799424,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6369536766109634560,There are moments in life when we want to tell those we care about how much they mean to us. Today presents an opportunity for many to experience such moments – It’s Valentine’s Day!!!  #WealthWednesday,15,15,93.33,14,12,12,0,1,6.67,1,1,2018,afternoon,Feb,Wednesday,0,35,0,1,0,No linked content
2018-02-14 14:55:00,6369539271665209344,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6369539271568748544,"Family means a lot and for some people, family is indeed everything. Remember when you said you’ll love them forever?  We can help you keep that promise by working with you to leave a lasting #Legacee in place. We don’t mean to scare you, but having a #Legacee in place is another great way to show love. And it’s as simple as writing a Will. #WealthWednesday",14,14,157.14,22,19,19,0,1,14.29,2,2,2018,afternoon,Feb,Wednesday,0,66,1,3,0,No linked content
2018-02-14 15:01:00,6369540785876062208,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6369540785800564736,"Be sure to say ‘’I love you’’ with a Legacee this year, Talk to us via 01-2801266 for more information on how to leave a Legacee. But don’t forget to throw in some chocolates, flowers and a lovely dinner 😉 . Happy Valentine’s Day #WealthWednesday",7,7,285.71,20,19,19,0,1,0.0,0,0,2018,afternoon,Feb,Wednesday,0,45,0,1,0,No linked content
2018-02-15 11:13:00,6369845814868746240,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6369845814763888640,Keeping you #MoneySafe is our goal.,5,5,180.0,9,8,8,0,1,0.0,0,0,2018,morning,Feb,Thursday,0,6,0,1,0,No linked content
2018-02-15 14:37:00,6369897281214382081,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6369897281071775744,"Keep the season of love going with a luxury dinner + boat cruise and you could get up to 26% off if you book between 15 – 28 February, 2018. Call 01 270 9676 or emailCustomerCareNigeria@stanbicibtc.com for reservations.",6,6,283.33,17,16,16,0,1,0.0,0,0,2018,afternoon,Feb,Thursday,0,38,0,0,0,No linked content
2018-02-15 16:08:00,6369920028137136128,LinkedIn,Photo,Stanbic IBTC,Aramide Salami,https://linkedin.com/feed/update/urn:li:activity:6369920028070027264,Wishing you Happiness and Prosperity this Year of the Dog. #CNY2018 #ChineseNewYear,8,8,275.0,22,20,20,0,2,0.0,0,0,2018,afternoon,Feb,Thursday,0,12,0,2,0,No linked content
2018-02-17 14:00:00,6370612630566035456,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6370612630322757632,#JAMBTip  Peer study groups are avenues to learn from others and focus. Join one if you can.,9,9,366.67,33,31,31,0,2,0.0,0,0,2018,afternoon,Feb,Saturday,1,17,0,1,0,No linked content
2018-02-19 11:24:00,6371298195376611328,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6371298195305299969,"#MotivationMonday 
Time is one thing you can’t buy back. We are already in the third week of the second month of the year. Are you keeping track with your set goals?",13,13,184.62,24,20,20,2,2,0.0,0,0,2018,morning,Feb,Monday,0,31,1,1,0,No linked content
2018-02-20 14:00:00,6371699837380939776,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6371699837234135040,"#JAMBTip To prevent stress and delay on examination day, get to know where your center is and how to get there beforehand.",6,6,200.0,12,11,11,0,1,0.0,0,0,2018,afternoon,Feb,Tuesday,0,22,0,1,0,No linked content
2018-02-20 15:00:00,6371714979183280128,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6371714979095212033,"#ThanksToSocialMedia, 3.03 billion people are closer now than ever. #SMWLagos",5,5,300.0,15,14,14,0,1,0.0,0,0,2018,afternoon,Feb,Tuesday,0,10,0,2,0,No linked content
2018-02-21 08:44:00,6371982747040313344,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6371982746973196289,"Your CVV and PIN are personal, to stay #MoneySafe do not share them with anyone.",6,6,333.33,20,19,19,0,1,0.0,0,0,2018,morning,Feb,Wednesday,0,15,0,1,0,No linked content
2018-02-21 10:49:00,6372014069607649280,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6372014069465051136,"#ThanksToSocialMedia, you can reach your loved ones in an instant. How has social media brought you closer to your loved ones? #SMWLagos",6,6,183.33,11,10,10,0,1,0.0,0,0,2018,morning,Feb,Wednesday,0,22,1,2,0,No linked content
2018-02-21 12:00:00,6372031993928040448,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6372031993818988544,"Do you know your employer should remit your pension payments no later than seven (7) days after your salary is paid? #WealthWednesday
Beyond the fact that making pension contributions is compulsory in Nigeria, these contributions serve as a great place to start planning towards that retirement you deserve. The best advice is to become more deliberate about contributing towards your pension. So here are a few tips on how to make this happen. 
- Monitor your account: There are several easy options to help you monitor the inflows into your pension account. Monitoring helps you determine if the contributions into your account are consistent and adequate to fund the retirement you dream of. #WealthWednesday",18,18,150.0,27,26,26,0,1,0.0,0,0,2018,afternoon,Feb,Wednesday,0,114,1,2,0,No linked content
2018-02-21 12:07:00,6372033815149375488,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6372033815703015424,"'- Have a plan and write it down so you can work towards your goal. Here’s the link to our pension calculator to help you forecast and plan right: http://bit.ly/2sIQGIC 
- Using your plan, will your current monthly payment be sufficient to fund your retirement? If not, you may need to augment the amount your employer remits by making additional voluntary contributions. 

Need to learn more about saving towards retirement? Please call us on 01-2716000 or email pensionsolution@stanbicibtc.com, our gurus are available to answer your questions. #WealthWednesday. ",12,12,150.0,18,17,17,0,1,0.0,0,0,2018,afternoon,Feb,Wednesday,0,87,1,1,0,No linked content
2018-02-21 17:26:00,6372114114562662400,LinkedIn,Photo,Stanbic IBTC,Aramide Salami,https://linkedin.com/feed/update/urn:li:activity:6372114114453602304,"Let’s connect and engage at this year’s Lagos Social Media Week from 26 February – 02 March, 2018. #SMWLagos",6,6,583.33,35,32,32,1,2,0.0,0,0,2018,evening,Feb,Wednesday,0,19,0,1,0,No linked content
2018-02-22 07:00:00,6372318882681753600,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6372318882589483008,Our partnership with the ICBC has helped our clients realize tremendous growth opportunities across the China-Africa corridor. Let us be your partner for driving growth on the continent we call home.,7,7,171.43,12,11,11,0,1,0.0,0,0,2018,morning,Feb,Thursday,0,31,0,0,0,No linked content
2018-02-22 10:19:00,6372369098403385344,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6372369098323697664,From letters to DMs. Share your letter writing experiences with us and how things have changed. #ThanksToSocialMedia #SMWLagos,7,7,157.14,11,7,7,3,1,0.0,0,0,2018,morning,Feb,Thursday,0,18,0,2,0,No linked content
2018-02-23 12:04:00,6372757858089521152,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6372757857993048064,Join us at #SMWLagos as we discuss about money moves in the social age. Click http://sched.co/Dux7 to book your seat. #SMWSIBTCSession.,9,9,177.78,16,15,15,0,1,0.0,0,0,2018,afternoon,Feb,Friday,0,21,0,2,0,No linked content
2018-02-23 13:00:00,6372771852451934208,LinkedIn,Link,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6372771852355465216,"#HappenToLife
Join over 1.4 million forward-looking professionals and #HappenToLife with the right pension plan just for you. For more information, call 01 271 6000 or email pensionsolution@stanbicibtc. Click http://bit.ly/2CEIsAP to watch.",13,13,100.0,13,11,11,1,1,0.0,0,0,2018,afternoon,Feb,Friday,0,31,0,2,0,Content has link(s)
2018-02-23 15:30:00,6372809598428069888,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6372809598323212288,"We call Africa home. Join us as we walk the pathway towards economic recovery for her sustained growth at the 2018 West Africa Investors Conference from 26 Feb – 01 Mar, 2018.",15,15,180.0,27,23,23,3,1,0.0,0,0,2018,afternoon,Feb,Friday,0,32,0,0,0,No linked content
2018-02-23 17:30:00,6372839788881465344,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6372839788768219137,"#ThanksToSocialMedia, you can find old friends and schoolmates and stay connected. #SMWLagos",7,7,157.14,11,9,9,1,1,0.0,0,0,2018,evening,Feb,Friday,0,12,0,2,0,No linked content
2018-02-24 14:00:00,6373149351253987328,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6373149351136542720,"#ThanksToSocialMedia, you can start your career/business- your next customer may just be on your timeline 😉 . #SMWLagos",7,7,100.0,7,6,6,0,1,0.0,0,0,2018,afternoon,Feb,Saturday,1,18,0,2,0,No linked content
2018-02-24 14:00:00,6373149318689411072,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6373149318588755969,#JAMBTip Adequate rest helps improve understanding and focus.,7,7,314.29,22,20,20,1,1,0.0,0,0,2018,afternoon,Feb,Saturday,1,8,0,1,0,No linked content
2018-02-25 14:00:00,6373511716298387456,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6373511716101255169,Subscribe with ease on our platforms. Don’t miss out on your favourite program. Pay for your Dstv/Gotv subscription on our payment platform.,7,7,114.29,8,7,7,0,1,0.0,0,0,2018,afternoon,Feb,Sunday,1,22,0,0,0,No linked content
2018-02-25 19:00:00,6373587229511610368,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6373587229285105664,"#ThanksToSocialMedia, you can learn from like-minded people and stay connected. #SMWLagos",7,7,157.14,11,8,8,1,2,0.0,0,0,2018,evening,Feb,Sunday,1,11,0,2,0,No linked content
2018-02-26 07:45:00,6373779717111234560,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6373779716981215233,"#TermOfTheDay
Defragment- This is to reorganize files on a computer’s hard disk to help improve  performance and maximize disk space..",12,12,141.67,17,15,15,1,1,0.0,0,0,2018,morning,Feb,Monday,0,20,0,1,0,No linked content
2018-02-26 11:28:00,6373835853004886017,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6373835852941971456,"A speaker sharing tips on making your content sticky and memorable by defining your target audience, telling stories and  sharing content that resonates with your audience. #SMWLagos",4,4,350.0,14,13,13,0,1,0.0,0,0,2018,morning,Feb,Monday,0,27,0,1,0,No linked content
2018-02-26 14:33:00,6373882453026750464,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6373882452938674176,"During a panel discussion titled ""How to effect change with the content we produce"" - Lala Akindoju(Actress), Marcel Mbamalu(Editor, Guardian NG) and Femi Bakre (CEO, Kraks TV) share on how content from movies, news and comedy can effect change in the society.",8,8,100.0,8,7,7,0,1,0.0,0,0,2018,afternoon,Feb,Monday,0,42,0,0,0,No linked content
2018-02-26 14:55:00,6373888064351191040,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6373888064221167616,"Stop by our booth at #SMWLagos, take the #3minAccountChallenge and win a prize. Are you game?",6,6,166.67,10,8,8,1,1,0.0,0,0,2018,afternoon,Feb,Monday,0,16,1,2,0,No linked content
2018-02-26 16:02:00,6373904800198774784,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6373904800039399424,And @thefisayo is our first  #3minAccountChallenge winner. Congratulations 👏🎉,7,7,357.14,25,23,23,1,1,0.0,0,0,2018,afternoon,Feb,Monday,0,9,0,1,0,No linked content
2018-02-27 09:47:00,6374172981068910592,LinkedIn,Photo,Stanbic IBTC,Anonymous,https://linkedin.com/feed/update/urn:li:activity:6374172980947283968,"Day 2, live from
 #SMWLagos. Stop by our booth and see if you can win in our #3MinAccountChallenge. Or you could just drop in and say hi! 👋",15,15,100.0,15,14,14,0,1,0.0,0,0,2018,morning,Feb,Tuesday,0,28,0,2,0,No linked content
