Date,Post ID,Network,Content Type,Profile,Sent by,Link,Post,Impressions,Organic Impressions,Reach,Organic Reach,Engagement Rate (per Impression),Engagement Rate (per Reach),Engagements,Reactions,Likes,Comments,Saves,Year,no of tags,part_of_day_posted,day_of_week,is_weekend,post_length,contains_question,num_hashtags,Month
2016-10-02 12:02:00,17865142354015616,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BLDuLqHh5c2/,"#FinancialTip: Personalize your #budget.

The great thing about creating a budget is that you can customize it to your own needs. After you have determined what to set aside for your fixed #expenses, you can alter the amount earmarked for variable items. The variable category gives you more room for how much you decide to spend and where to spend. #stanbicibtc",2,2,2,2,1950.0,1950.0,39,38,38,1,0,2016,0,afternoon,Sunday,1,61,0,4,Oct
2016-10-05 18:01:00,17852683558088946,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BLMFqHlBk7_/,"Tune in to @Nigeriainfofmabuja to learn how you can invest in our Mutual Funds and earn competitive returns. For more information, please call 012801266, 012805595 or email assetmanagement@stanbicibtc.com #NeverStopInvesting",3,3,3,3,766.67,766.67,23,23,23,0,0,2016,0,evening,Wednesday,0,29,0,1,Oct
2016-10-12 10:19:00,17853614902116517,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BLdSUvNhwRN/,"#InterviewTip: Come prepared to discuss the company, the role, your background, current trends in their industry. Companies want to hire engaged employees who have taken the time to learn about them and the role they are applying for.",1,1,1,1,5300.0,5300.0,53,53,53,0,0,2016,0,morning,Wednesday,0,38,0,1,Oct
2016-10-12 18:02:00,17863994332021489,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BLeHR1LhzJ4/,"Tune in to @Nigeriainfofmabuja to learn how you can invest in our Mutual Funds and earn competitive returns. For more information, please call 01 2801266, 01 280 5595 or email assetmanagement@stanbicibtc.com #NeverStopInvesting",2,2,2,2,2200.0,2200.0,44,44,44,0,0,2016,0,evening,Wednesday,0,32,0,1,Oct
2016-10-14 14:13:00,17843256802164056,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BLi2qqlBU5i/,"Hey #foodies! @dobbysignature shredded ginger beef looks yummy. Why not try something different this weekend.
 #FoodieFriday #Foodie #Food
Ingredients
• 1lb (pound) of boneless beef
• 1 medium sized ginger • 6 cloves of garlic • 1 medium sized onion • 1 tablespoon of rosemary • 1 tablespoon of ground nutmeg • 2 tablespoons of chili pepper - ground • 2 seasoning cubes • Salt to taste • 2 cups of cucumber (optional)- diced • 1 cups of carrot (optional) - diced 
How to prepare
-Slice the beef into small stripes. Add salt, nutmeg, rosemary, crushed seasoning, onion, ginger and cook. -Cook for 30 minutes till it's tender. -Add the minced garlic, pepper and cook. - Reduce the heat then add the diced cucumber and carrot. Leave to simmer for 3 minutes on low heat. -Serve as a side dish with rice, yam, potato etc.",1,1,1,1,5400.0,5400.0,54,54,54,0,0,2016,0,afternoon,Friday,0,145,0,4,Oct
2016-10-14 17:30:00,17865556933006925,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BLjNQfZh0n0/,"Tune in to WE106.3FM Abuja to learn how you can invest in #StabicIBTC Mutual Funds and earn competitive returns. For more information, please call 01 2801266, 01 280 5595 or email assetmanagement@stanbicibtc.com #NeverStopInvesting",4,4,4,4,775.0,775.0,31,31,31,0,0,2016,0,evening,Friday,0,33,0,2,Oct
2016-10-19 17:30:00,17863844692024929,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BLwFMw6Bvf7/,"Tune in to @Nigeriainfofmabuja to learn how you can invest in our Mutual Funds and earn competitive returns. For more information, please call 01 2801266, 01 280 5595 or email assetmanagement@stanbicibtc.com #NeverStopInvesting",2,2,2,2,2250.0,2250.0,45,45,45,0,0,2016,0,evening,Wednesday,0,32,0,1,Oct
2016-10-21 16:47:00,17843484481150406,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BL1J6uqhFQG/,"Here are pictures from the AABLA event last night where Sola David-Borha(CEO, Stanbic IBTC Holdings PLC) won the Business Woman of the year award.
#StanbicIBTC",1,1,1,1,10700.0,10700.0,107,104,104,3,0,2016,0,afternoon,Friday,0,25,0,1,Oct
2016-10-21 16:50:00,17864042170015851,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BL1KQbLh9_v/,"Our CEO, Sola David-Borha, won the Business Woman of the year award at the AABLA awards last night. #StanbicIBTC #NeverStopMovingForward",3,3,3,3,10867.0,10867.0,326,314,314,12,0,2016,0,afternoon,Friday,0,20,0,2,Oct
2016-10-22 10:11:00,17843492812157128,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BL3BVZ7B9fA/,"Always make sure no one is looking over your shoulder whenever you use the ATM.
#BeSecure",1,1,1,1,8100.0,8100.0,81,80,80,1,0,2016,0,morning,Saturday,1,16,0,1,Oct
2016-10-24 10:05:00,17854152079126705,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BL8KPJ_BEfm/,"#MotivationMonday:
The size of your dreams must always exceed your current capacity to achieve them. If your dreams do not scare you, they are not big enough. - Ellen Johnson Sirleaf",1,1,1,1,6200.0,6200.0,62,62,62,0,0,2016,0,morning,Monday,0,31,0,1,Oct
2016-10-24 17:13:00,17864538733062968,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BL87RYLhpzb/,"With N50, 000 we can help you realize your dream of financial freedom. 
Let our professional fund managers help build your wealth.  For more information, please call 01 2801266, 01 280 5595 or email assetmanagement@stanbicibtc.com #NeverStopInvesting",1,1,1,1,5800.0,5800.0,58,57,57,1,0,2016,0,evening,Monday,0,36,0,1,Oct
2016-10-31 10:15:00,17855974330075991,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BMOM_lkhA6j/,"#FinancialTip:
Help your children become financially savvy.
Children learn by copying. If they see you saving, they will also want to save. Not only can you start saving for your child's college expenses, but you can teach them how to be financially wise. Your child can learn how to manage their money just by watching how you manage yours.
#WorldSavingsDay",1,1,1,1,2900.0,2900.0,29,29,29,0,0,2016,0,morning,Monday,0,60,0,2,Oct
2016-10-31 10:25:00,17844593635134837,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BMOOIOdBgZ5/,A student of the Lagos Progressive School answering a question on how to save your money effectively. #WorldSavingsDay,1,1,1,1,6700.0,6700.0,67,67,67,0,0,2016,0,morning,Monday,0,18,0,1,Oct
2016-10-31 10:54:00,17856102205072233,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BMORXcXhv0y/,"Students of the Lagos Progressive School eager to answer questions after the session.
 #WorldSavingsDay",1,1,1,1,4000.0,4000.0,40,40,40,0,0,2016,0,morning,Monday,0,14,0,1,Oct
2016-10-31 10:57:00,17865018022032540,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BMORxStBRHm/,"A key ingredient of success in life is to pay attention and to be detailed. -Yinka Sanni
#WorldSavingsDay",2,2,2,2,3450.0,3450.0,69,69,69,0,0,2016,0,morning,Monday,0,18,0,1,Oct
2016-10-31 11:05:00,17853875308081185,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BMOSukfBvrL/,"Our CE, Yinka Sanni's selfie time with the Lagos Progressive School students after the Financial Planning talk with them this morning.
#WorldSavingsDay",1,1,1,1,3400.0,3400.0,34,33,33,1,0,2016,0,morning,Monday,0,22,0,1,Oct
2016-10-31 11:15:00,17864988283014511,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BMOTy6mBM3s/,"Our staff and CE with the Lagos Progressive School's staff and prefects. 
#WorldSavingsDay",2,2,2,2,2100.0,2100.0,42,42,42,0,0,2016,0,morning,Monday,0,13,0,1,Oct
2016-11-04 17:15:00,17844806977133853,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BMZQPUoBJ4o/,"Transfer money, authorize payments and view your balance anywhere, anytime with our #internetbanking. Visit stanbicibtcbank.com/internetbanking to register and follow the prompt. You can also call 0700 2255 782 6242 or email customercarenigeria@stanbicibtc.com for more info.  #Simple #Safe #Secure #Stanbicibtc",1,1,1,1,4000.0,4000.0,40,40,40,0,0,2016,0,evening,Friday,0,39,0,5,Nov
2016-11-08 10:37:00,17845050631131358,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BMi1z-rBclT/,"#InvestmentTip:
An increase in your salary shouldn't translate to an increase in your expenditure. Stay lean. #NeverStopInvesting",3,3,3,3,2700.0,2700.0,81,75,75,6,0,2016,0,morning,Tuesday,0,17,0,2,Nov
2016-11-09 10:05:00,17855162320098338,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BMlW9h_hk0I/,#InvestmentTip: Plan your social expenses so as not to over spend when you go out for social events. #NeverStopInvesting,2,2,2,2,3550.0,3550.0,71,71,71,0,0,2016,0,morning,Wednesday,0,19,0,2,Nov
2016-11-09 18:17:00,17844127648179735,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BMmPP_jBrZk/,"Tune in to @Nigeriainfofmabuja to learn how you can invest in our Mutual Funds and earn competitive returns. For more information, please call 01 2801266, 01 280 5595 or email assetmanagement@stanbicibtc.com #NeverStopInvesting",2,2,2,2,1900.0,1900.0,38,37,37,0,1,2016,0,evening,Wednesday,0,32,0,1,Nov
2016-11-10 17:12:00,17856544411077894,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BMosqjmhhFE/,"To avoid high risks, diversify your investments. #NeverStopInvesting #InvestWisely",1,1,1,1,3900.0,3900.0,39,34,34,5,0,2016,0,evening,Thursday,0,9,0,2,Nov
2016-11-11 18:08:00,17844218173175648,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BMrX3VOBkqe/,"Tune in to WE106.3FM Abuja to learn how you can invest in #StabicIBTC Mutual Funds and earn competitive returns. For more information, please call 01 2801266, 01 280 5595 or email assetmanagement@stanbicibtc.com #NeverStopInvesting",2,2,2,2,1700.0,1700.0,34,34,34,0,0,2016,0,evening,Friday,0,33,0,2,Nov
2016-11-18 14:57:00,17859750505069213,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BM9Dehshvce/,"#TheFineArts Olumide Oresegun was born in Ikorodu, Lagos State. His love for drawing and painting started when he was 4. He had his formal education in Yaba College of Technology where he graduated with a distinction in Fine Art. This year, he received media attention in Nigeria and beyond when he posted some of his oil on canvas paintings on Facebook.",2,2,2,2,3800.0,3800.0,76,76,76,0,0,2016,0,afternoon,Friday,0,61,0,1,Nov
2016-11-18 14:58:00,17865987652000432,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BM9Dsy-h9Mo/,"#TheFineArts Olumide Oresegun specializes in hyperrealism. His works look very close to digitally taken photos that you mistake them for it. He cites Pablo Picasso and Michelangelo di Ludovico Buonarroti Simoni as his role models. His drawing and painting are inspired by his environment, mostly using water as the principal theme of his works.",1,1,1,1,14200.0,14200.0,142,141,141,1,0,2016,0,afternoon,Friday,0,54,0,1,Nov
2016-11-19 12:50:00,17865031939059452,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BM_Z0xYByo2/,"#TheFineArts Kainebi Osahenye studied at both Auchi Polytechnic, Auchi in 1986 and Yaba College of Technology, Lagos in 1989 majoring in painting. He has spent the last 20 years exploring different ways to interact with issues like religion, social injustice, and globalization. #kainebiosahenye",8,8,7,7,412.5,471.43,33,33,33,0,0,2016,0,afternoon,Saturday,1,43,0,2,Nov
2016-11-19 13:35:00,17859335113066142,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BM_e5sxBDGj/,"#TheFineArts Osahenye’s studio is filled with used paint tubes, water bottles, beverage cans, and other forms of detritus that the artist has been incorporating into much of his recent work. His work addresses issues of man’s inhumanity to man; a theme he has carried from his first exhibition in 1991. #kainebiosahenye",5,5,5,5,840.0,840.0,42,42,42,0,0,2016,0,afternoon,Saturday,1,51,0,2,Nov
2016-11-19 13:36:00,17865462118017318,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BM_fCgNh290/,"#TheFineArts Internationally renowned artist El Anatsui said, “I think Kainebi is one of the few artists within the Nigerian contemporary art context who is highly experimental and also much focused on opening up the possibilities of painting both as a medium and as process”. #kainebiosahenye",4,4,4,4,600.0,600.0,24,24,24,0,0,2016,0,afternoon,Saturday,1,45,0,2,Nov
2016-12-01 12:06:00,17859916864065741,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BNeOU02hlGs/,"It's #WorldAIDSDay, fight the virus not the people living with it. Treat them with love and respect.",1,1,1,1,4100.0,4100.0,41,39,39,2,0,2016,0,afternoon,Thursday,0,17,0,1,Dec
2016-12-01 17:23:00,17844922087184083,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BNeykJcBEJT/,"You can now request for your Pension Identification Number (PIN) via SMS. 
Here's how to get it:
Text MYPIN to 30388
SMS costs 10 Naira
#Pension #RetireWell #StanbicIBTC",1,1,1,1,3500.0,3500.0,35,34,34,1,0,2016,0,evening,Thursday,0,28,0,3,Dec
2016-12-12 10:20:00,17861302006070237,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BN6W3vYB5CB/,"Even as the year comes to an end, you can still reach your goals if you are willing to pay the price and work hard. #MoveForward",1,1,1,1,4700.0,4700.0,47,47,47,0,0,2016,0,morning,Monday,0,26,0,1,Dec
2016-12-13 10:35:00,17867450005030958,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BN89eK_htnp/,"#TuesdayTrivia
Answer this riddle - What belongs to you but others use it more than you do?",1,1,1,1,5300.0,5300.0,53,45,45,8,0,2016,0,morning,Tuesday,0,17,1,1,Dec
2016-12-14 16:45:00,17846825737132047,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BOAMgzmBkNd/,"Tune in to @smooth981 to learn how you can invest in #StabicIBTC Mutual Funds and earn competitive returns. For more information, please call 01 2801266, 01 280 5595 or email assetmanagement@stanbicibtc.com #NeverStopInvesting",2,2,2,2,1350.0,1350.0,27,27,27,0,0,2016,0,afternoon,Wednesday,0,32,0,2,Dec
2016-12-20 10:47:00,17861524900065708,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BOPAVu5hw1L/,"We recently launched a new branch, tell us the location and you could win VIP tickets to Yudala Imo My pride concert happening in Owerri.",1,1,1,1,4200.0,4200.0,42,35,35,7,0,2016,0,morning,Tuesday,0,25,0,0,Dec
2016-12-26 17:34:00,17846005246168730,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BOfLvzUhpqt/,Here are the names of the winners from the second #EatDrinkFestival #APPyness giveaway trivia. Please pick up your voucher at our stand at the event.,1643,1643,1,1,2.25,3700.0,37,33,33,4,0,2016,0,evening,Monday,0,25,0,2,Dec
2016-12-27 14:08:00,17868586264057373,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BOhY3sDBXso/,From @olabisidarling -  Got my eatdrink voucher powered by @stanbicibtc #eatdrinkfestival2016,2271,2271,1,1,4.62,10500.0,105,103,103,1,1,2016,0,afternoon,Tuesday,0,11,0,1,Dec
2016-12-27 19:20:00,17857195129127167,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BOh8npzhal-/,We had so much fun at #EatDrinkFestival today. Should we do this again? 🤔🤔,2395,2395,1,1,3.8,9100.0,91,88,88,3,0,2016,0,evening,Tuesday,0,14,1,1,Dec
2016-12-28 11:29:00,17846100511149884,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BOjrfLfBZzm/,"You need to have a strong financial plan as you enter the new year and that will require some lifestyle changes like saving more, exploring local tourism and increasing your investments by investing more.",1532,1532,1,1,2.55,3900.0,39,38,38,0,1,2016,0,morning,Wednesday,0,34,0,0,Dec
2016-12-31 18:41:00,17857491079121395,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BOsLUgXh3vS/,Thank you for making 2016 an amazing year 😃 #2016bestnine,2069,2069,1,1,6.48,13400.0,134,134,134,0,0,2016,0,evening,Saturday,1,10,0,1,Dec
2017-01-01 00:33:00,17866979233055174,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BOszqvohNiq/,"We wish you a year filled with more joy, achievements and laughter. 
May you #neverstop #movingforward in 2017

Cheers to the new year. #HappyNewYear",1904,1904,1,1,4.83,9200.0,92,84,84,7,1,2017,0,night,Sunday,1,24,0,3,Jan
2017-01-04 18:50:00,17858229853116986,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BO2fhv6h4ee/,Do need to make payments or transfer funds to your loved ones? Our Internet Banking can help you with that and much more. #MovingFoward #InternetBanking,2007,2007,1,1,4.19,8400.0,84,79,79,4,1,2017,0,evening,Wednesday,0,25,1,2,Jan
2017-01-05 10:15:00,17846634763167211,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BO4JZh7hxV4/,"#ThrowbackThursday 
This was popular among women back in the day. Like and comment if you remember using it.",3169,3169,2,2,7.35,11650.0,233,209,209,21,3,2017,0,morning,Thursday,0,18,0,1,Jan
2017-01-05 19:26:00,17846662915151403,Instagram,Photo,stanbicibtc,Anonymous,https://www.instagram.com/p/BO5IgX0BeVo/,Now is the best time to start saving for that dream vacation. Open a ContractSave Account today. Call 0700 2255 7826242 or email customercarenigeria@stanbicibtc.com for more details.,1434,1434,2,2,3.77,2700.0,54,50,50,3,1,2017,0,evening,Thursday,0,27,0,0,Jan
